,rate,ampl,duration
FC5_pre_15_0,1.0,1.671004175333515e-06,124.0
FC5_prep_15_0,0,0,0
FC5_mov_15_0,0,0,0
FC5_rel_15_0,0.6666666666666666,2.3531566957291403e-06,188.0
FC5_post_15_0,0.6666666666666666,3.874904732516637e-06,120.0
FC5_post_15_1,0.6666666666666666,4.843121471161703e-06,180.0
FC5_p-post_15_0,0.3993610223642173,2.2390989241589874e-06,244.0
FC5_p-pre_16_0,0,0,0
FC5_pre_16_0,0,0,0
FC5_prep_16_0,0,0,0
FC5_mov_16_0,0.3333333333333333,1.5605365421640825e-06,140.0
FC5_rel_16_0,0,0,0
FC5_post_16_0,0.3333333333333333,2.721066922102409e-06,108.0
FC5_p-post_16_0,0.7987220447284346,2.5398884398782623e-06,136.0
FC5_p-post_16_1,0.7987220447284346,3.5438208268815383e-06,116.0
FC5_p-pre_17_0,0,0,0
FC5_pre_17_0,1.0,1.6163716713853705e-06,148.0
FC5_prep_17_0,0,0,0
FC5_mov_17_0,0.6666666666666666,1.9872099708075613e-05,344.0
FC5_mov_17_1,0.6666666666666666,5.265718047854825e-06,156.0
FC5_rel_17_0,0,0,0
FC5_post_17_0,0.3333333333333333,2.1784105812479523e-06,152.0
FC5_p-post_17_0,0.3993610223642173,1.63011582820411e-06,116.0
FC5_p-pre_18_0,0,0,0
FC5_pre_18_0,0,0,0
FC5_prep_18_0,0,0,0
FC5_mov_18_0,0.6666666666666666,1.8004141094411748e-06,156.0
FC5_mov_18_1,0.6666666666666666,1.4719107955565444e-06,132.0
FC5_rel_18_0,0,0,0
FC5_post_18_0,0,0,0
FC5_p-post_18_0,0.3993610223642173,3.8101536006100846e-05,280.0
FC5_p-pre_19_0,0,0,0
FC5_pre_19_0,1.0,2.2438641800352365e-06,104.0
FC5_prep_19_0,0,0,0
FC5_mov_19_0,0.3333333333333333,1.8264369420328987e-06,184.0
FC5_rel_19_0,0.6666666666666666,4.04175127336716e-06,144.0
FC5_post_19_0,0,0,0
FC5_p-post_19_0,0.3993610223642173,2.0977946730552114e-06,140.0
FC5_p-pre_20_0,0,0,0
FC5_pre_20_0,0,0,0
FC5_prep_20_0,0,0,0
FC5_mov_20_0,0.3333333333333333,7.010674461817218e-07,104.0
FC5_rel_20_0,0.6666666666666666,1.8623358169842674e-06,112.0
FC5_post_20_0,0.6666666666666666,1.8551724070797964e-06,140.0
FC5_post_20_1,0.6666666666666666,3.3092761783222685e-06,160.0
FC5_p-post_20_0,0,0,0
FC5_p-pre_21_0,0,0,0
FC5_pre_21_0,0,0,0
FC5_prep_21_0,1.6666666666666667,4.821651173013619e-06,128.0
FC5_mov_21_0,0.3333333333333333,5.842133644891323e-07,176.0
FC5_rel_21_0,0,0,0
FC5_post_21_0,1.3333333333333333,1.0894713484954905e-05,192.0
FC5_post_21_1,1.3333333333333333,8.259251148989358e-06,132.0
FC5_post_21_2,1.3333333333333333,2.6527997059612298e-05,104.0
FC5_post_21_3,1.3333333333333333,2.5451195411509145e-05,116.0
FC5_p-post_21_0,0.7987220447284346,1.1173340148991608e-05,164.0
FC5_p-post_21_1,0.7987220447284346,4.378700623605221e-05,232.0
FC5_p-pre_22_0,0,0,0
FC5_pre_22_0,1.0,3.489226947982252e-05,152.0
FC5_prep_22_0,0,0,0
